name,host_id,host_identity_verified,host_name,neighbourhood_group,neighbourhood,lat,long,country,country_code,instant_bookable,cancellation_policy,room_type,construction_year,price,service_fee,minimum_nights,number_of_reviews,last_review
B & B Room 1,46312284523,verified,Darcy,Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547,United States,US,1,moderate,Private room,2013,946.0,189.0,3.0,63.0,2019-05-14
ACCOMMODATIONS GALORE #1,90525781448,unconfirmed,Daniel,Manhattan,Harlem,40.81618,-73.94894,United States,US,1,flexible,Entire home/apt,2005,449.0,90.0,3.0,155.0,2019-06-20
Sunny Room in New Condo,35058485479,verified,Victoria,Brooklyn,Clinton Hill,40.68414,-73.96351,United States,US,0,moderate,Private room,2018,930.0,186.0,3.0,260.0,2019-07-03
Stylish & Sleek Apartment Near SoHo!,24559680874,verified,Brooke,Manhattan,East Village,40.72392,-73.99143,United States,US,0,strict,Entire home/apt,2006,329.0,66.0,5.0,73.0,2019-06-25
NYC artists’ loft with roof deck,48867545848,verified,Lilianna,Brooklyn,Greenpoint,40.73494,-73.9503,United States,US,0,flexible,Private room,2006,1125.0,225.0,3.0,193.0,2019-05-20
Sanctuary in East Flatbush,41763838164,unconfirmed,Anna,Brooklyn,Flatlands,40.63188,-73.93248,United States,US,1,moderate,Private room,2020,96.0,19.0,2.0,2.0,2019-01-01
Cozy BR in Wiliamsburg 3 Bedroom,26995415534,verified,Bruce,Brooklyn,Williamsburg,40.71165,-73.96087,United States,US,0,moderate,Private room,2003,1133.0,227.0,3.0,200.0,2019-06-22
Sunny Room in Old Historical Brooklyn Townhouse,7020663711,unconfirmed,Jessica,Brooklyn,Fort Greene,40.69101,-73.97312,United States,US,1,strict,Private room,2014,162.0,32.0,8.0,27.0,2019-06-29
Sun Filled Classic West Village Apt,45352858672,verified,Valeria,Manhattan,West Village,40.73474,-74.00101,United States,US,0,moderate,Private room,2009,944.0,189.0,4.0,79.0,2019-06-22
Lg Rm in Historic Prospect Heights,28372000134,unconfirmed,Wilson,Brooklyn,Prospect Heights,40.67386,-73.96641,United States,US,1,moderate,Private room,2009,505.0,101.0,15.0,9.0,2013-05-10
Classic Artist Loft Williamsburg,85684057000,verified,Mike,Brooklyn,Williamsburg,40.71536,-73.96057,United States,US,1,strict,Private room,2009,113.0,23.0,3.0,155.0,2019-06-13
Private Bdrm/Bathrm. New! Elevator!,80380133240,unconfirmed,Audrey,Manhattan,East Harlem,40.79295,-73.93997,United States,US,1,moderate,Private room,2022,370.0,74.0,2.0,34.0,
Luxurious Condo in DUBMO with View,20270952150,unconfirmed,Edith,Brooklyn,DUMBO,40.70207,-73.98571,United States,US,1,strict,Private room,2016,385.0,77.0,30.0,14.0,2021-04-25
Charming & Cozy midtown loft any WEEK ENDS  !!!,3310140241,verified,Luke,Manhattan,Upper East Side,40.76123,-73.9642,United States,US,0,flexible,Entire home/apt,2021,950.0,190.0,30.0,4.0,2016-09-23
* Spacious GARDEN Park Slope Duplex* 6 people max,61571782497,verified,Nicole,Brooklyn,Gowanus,40.66858,-73.99083,United States,US,0,strict,Entire home/apt,2021,374.0,75.0,30.0,80.0,2019-07-06
Convenient cozy cheap apt Manhattan,29280666536,unconfirmed,Agata,Manhattan,Harlem,40.82704,-73.94907,United States,US,0,flexible,Entire home/apt,2011,375.0,75.0,30.0,2.0,2015-11-02
Financial District Luxury Loft,57567873573,verified,Amy,Manhattan,Financial District,40.70666,-74.01374,United States,US,0,strict,Entire home/apt,2022,387.0,77.0,30.0,114.0,2019-06-20
BROOKLYN VICTORIAN STYLE SUITE.....,83631499592,unconfirmed,Frederick,Brooklyn,Fort Greene,40.69098,-73.97113,United States,US,0,flexible,Private room,2008,1155.0,231.0,10.0,213.0,2019-06-24
Your own Lovely West Village Studio,64716183027,verified,April,Manhattan,West Village,40.73756,-74.00405,United States,US,0,strict,Entire home/apt,2017,665.0,133.0,30.0,86.0,2019-06-01
ACCOMMODATIONS GALORE#3. 1-5 GUESTS,13628045272,verified,Daniel,Manhattan,Harlem,40.81526,-73.94791,United States,US,1,strict,Entire home/apt,2013,175.0,35.0,30.0,80.0,2019-05-26
Greenwich Village Stylish Apartment,31589665723,unconfirmed,Jared,Manhattan,West Village,40.73423,-74.0046,United States,US,1,strict,Entire home/apt,2012,408.0,82.0,30.0,38.0,2016-04-20
Clean and Cozy Harlem Apartment,42380667906,verified,Ashton,Manhattan,Harlem,40.82374,-73.9373,United States,US,0,strict,Entire home/apt,2019,601.0,120.0,30.0,18.0,2018-12-17
"Fort Greene, Brooklyn: Center Bedroom",9549678609,unconfirmed,Adele,Brooklyn,Fort Greene,40.68863,-73.97691,United States,US,0,flexible,Private room,2011,107.0,21.0,30.0,206.0,2019-06-30
Beautiful Queens Brownstone! - 5BR,65716686884,unconfirmed,Brad,Queens,Ridgewood,40.70382,-73.89797,United States,US,1,flexible,Entire home/apt,2011,724.0,145.0,30.0,10.0,2019-05-12
Couldn't Be Closer To Columbia Uni,44580630332,unconfirmed,Bruce,Manhattan,Morningside Heights,40.80549,-73.95924,United States,US,0,strict,Private room,2019,450.0,90.0,30.0,122.0,2019-05-14
Park Slope haven 15 mins from Soho,36806839312,unconfirmed,Kelsey,Brooklyn,Park Slope,40.67994,-73.97863,United States,US,0,strict,Entire home/apt,2015,327.0,65.0,30.0,52.0,2019-06-05
SAFE  AND BEAUTIFUL ACCOMODATION,93242543275,verified,Natalie,Brooklyn,Bedford-Stuyvesant,40.67992,-73.9475,United States,US,0,strict,Private room,2015,946.0,189.0,30.0,126.0,2019-05-19
Spacious Williamsburg Share w/ LOFT BED,21636248705,verified,Perry,Brooklyn,Williamsburg,40.70979,-73.95162,United States,US,0,strict,Private room,2017,131.0,26.0,4.0,82.0,2019-06-10
Cozy 2 br in sunny Fort Greene apt,30191089894,unconfirmed,Andrews,Brooklyn,Fort Greene,40.68656,-73.97525,United States,US,0,strict,Private room,2005,444.0,89.0,3.0,37.0,2018-12-31
Cozy East Village Railroad 1 Bed!,79861348248,verified,Cooper,Manhattan,East Village,40.72752,-73.98432,United States,US,0,strict,Entire home/apt,2010,1089.0,218.0,1.0,204.0,2019-07-01
1 Bedroom Loft w/ Private Roof Deck,11696098683,unconfirmed,Foster,Brooklyn,Greenpoint,40.729,-73.95829,United States,US,1,strict,Entire home/apt,2017,518.0,104.0,2.0,69.0,2019-06-13
City Room - Private & Comfy Bedroom,38264908739,verified,Morrison,Manhattan,Harlem,40.81219,-73.94499,United States,US,1,strict,Private room,2010,220.0,44.0,1.0,192.0,
Elegant NYC Pad,49921339869,unconfirmed,Bennett,Queens,Ditmars Steinway,40.77185,-73.90502,United States,US,1,moderate,Entire home/apt,2016,1133.0,227.0,2.0,17.0,
"Clean & bright 1BR in Cobble Hill, GREAT location!",38579657286,unconfirmed,Baker,Brooklyn,Cobble Hill,40.68926,-73.99386,United States,US,1,strict,Entire home/apt,2021,316.0,63.0,2.0,222.0,
"Modern, Large East Village Loft",13467711251,unconfirmed,Spencer,Manhattan,East Village,40.72821,-73.98701,United States,US,1,flexible,Entire home/apt,2015,396.0,79.0,3.0,205.0,2019-06-23
"Great new apt, close to everything",79638424542,verified,Ross,Manhattan,Hell's Kitchen,40.7672,-73.98508,United States,US,0,flexible,Entire home/apt,2020,813.0,163.0,3.0,94.0,2019-06-09
Quiet & Clean Retreat in the City,18399221085,unconfirmed,Rogers,Manhattan,East Village,40.73012,-73.99053,United States,US,0,moderate,Entire home/apt,2017,111.0,22.0,3.0,7.0,2019-05-24
Stylish Large Gramercy Loft!,80178020812,unconfirmed,Martin,Manhattan,Flatiron District,40.7403,-73.98498,United States,US,1,strict,Entire home/apt,2020,908.0,182.0,2.0,108.0,2019-06-30
The Brownstone-Luxury 1 Bd Apt/NYC,95734990661,verified,Dixon,Manhattan,Harlem,40.80931,-73.94343,United States,US,1,moderate,Entire home/apt,2008,823.0,165.0,3.0,222.0,2019-06-26
PRIVATE Room on Historic Sugar Hill,46480721644,unconfirmed,Allen,Manhattan,Harlem,40.8251,-73.94287,United States,US,1,flexible,Private room,2011,186.0,37.0,1.0,458.0,2019-07-03
South Slope Green,20576025416,verified,Murphy,Brooklyn,Windsor Terrace,40.6585,-73.98397,United States,US,0,strict,Private room,2021,84.0,17.0,2.0,21.0,2019-05-17
"17 Flr. Manhattan Views, Nr. Subway",81471714501,unconfirmed,Clark,Manhattan,Roosevelt Island,40.76193,-73.9501,United States,US,0,moderate,Private room,2018,241.0,48.0,7.0,17.0,2019-05-08
"Spacious 1BR, Adorable Clean Quiet",5961679794,verified,Montgomery,Manhattan,Lower East Side,40.72052,-73.98589,United States,US,0,strict,Entire home/apt,2017,54.0,11.0,3.0,41.0,2019-01-02
"Nice, clean, safe, convenient 3BR",41153188173,unconfirmed,Fowler,Queens,Ridgewood,40.70411,-73.89934,United States,US,1,strict,Entire home/apt,2020,656.0,131.0,14.0,1.0,2022-04-03
Franklin St Flat in Trendy Greenpoint Brooklyn,25015494698,unconfirmed,Payne,Brooklyn,Greenpoint,40.73401,-73.95967,United States,US,1,flexible,Entire home/apt,2018,509.0,102.0,2.0,69.0,2019-05-19
"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",14920488865,unconfirmed,Adams,Manhattan,Chinatown,40.71756,-73.99503,United States,US,0,flexible,Entire home/apt,2016,1198.0,240.0,4.0,18.0,2019-07-01
City Room - Private Luxury Suite,34228394206,verified,Clark,Manhattan,Harlem,40.8118,-73.94434,United States,US,1,moderate,Private room,2011,1127.0,225.0,1.0,189.0,2019-06-11
Huge Chelsea Loft,27743402115,verified,Thomas,Manhattan,Chelsea,40.74358,-74.00027,United States,US,0,flexible,Entire home/apt,2006,595.0,119.0,2.0,35.0,2017-07-27
Great room in great location,27437089550,unconfirmed,Tucker,Manhattan,Harlem,40.80335,-73.9575,United States,US,0,moderate,Private room,2010,1076.0,215.0,14.0,10.0,2019-06-01
Exclusive Room with Private Bath in  LES,6670990373,unconfirmed,Warren,Manhattan,Chinatown,40.71445,-73.9908,United States,US,0,strict,Private room,2008,956.0,191.0,4.0,171.0,2019-06-23
"Quiet, clean midtown apt w. elevato",56864395436,unconfirmed,Taylor,Manhattan,Midtown,40.75749,-73.96897,United States,US,1,moderate,Entire home/apt,2015,81.0,16.0,30.0,92.0,2019-04-30
BK Sweet Suite w/Kitchen&FullBath,95787147567,unconfirmed,Mason,Brooklyn,East Flatbush,40.64446,-73.9503,United States,US,1,strict,Entire home/apt,2011,472.0,94.0,3.0,238.0,2019-06-14
Great East Village Apartment Rental,68034176973,unconfirmed,Hunt,Manhattan,East Village,40.7268,-73.99079,United States,US,1,moderate,Entire home/apt,2018,1058.0,212.0,30.0,56.0,2019-05-26
BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,97374363906,verified,Richardson,Brooklyn,Williamsburg,40.70763,-73.95177,United States,US,0,moderate,Private room,2019,1164.0,233.0,2.0,181.0,2019-06-23
D Private Che@p Room 2 Explore NYC,60931330665,verified,Lloyd,Staten Island,Tompkinsville,40.63481,-74.08519,United States,US,0,moderate,Private room,2010,1032.0,206.0,2.0,333.0,2019-07-02
Safe cute near subway& Manhattan NY NY retro style,3323425751,unconfirmed,Perry,Queens,Astoria,40.75384,-73.91433,United States,US,1,flexible,Entire home/apt,2005,545.0,109.0,5.0,441.0,2019-06-24
Large and Cozy Private Bedroom,87014850347,unconfirmed,Richardson,Brooklyn,Kensington,40.64106,-73.97426,United States,US,0,flexible,Private room,2013,786.0,157.0,1.0,45.0,2019-05-16
Small tidy bedroom in duplex,40815560652,unconfirmed,Brown,Brooklyn,Park Slope,40.66793,-73.98327,United States,US,0,flexible,Private room,2018,114.0,23.0,14.0,9.0,2016-08-29
LL3,21787820811,verified,Foster,Bronx,Clason Point,40.81309,-73.85514,United States,US,1,moderate,Private room,2005,643.0,129.0,2.0,0.0,
"Private, Large & Sunny Top Floor Apt  w/W&D",4292764830,verified,Reed,Brooklyn,Bedford-Stuyvesant,40.68236,-73.94314,United States,US,0,flexible,Entire home/apt,2007,841.0,168.0,30.0,248.0,2019-06-25
Cottage in the Village,65603422910,verified,Lloyd,Manhattan,East Village,40.72185,-73.98246,United States,US,1,moderate,Entire home/apt,2019,73.0,15.0,5.0,143.0,2019-06-19
BEDROOM1 FOR RENT 10min from Manhan,20568220502,unconfirmed,Tucker,Brooklyn,Bedford-Stuyvesant,40.68503,-73.95385,United States,US,1,strict,Private room,2019,1143.0,229.0,3.0,36.0,2018-08-19
Amazing  Sunny & Breezy Home In the Heart of  NYC,93362038010,verified,Mitchell,Manhattan,Little Italy,40.71702,-73.99811,United States,US,0,strict,Entire home/apt,2008,895.0,179.0,14.0,1.0,2019-01-02
ENJOY Downtown NYC!!,7784280062,verified,Gibson,Manhattan,East Village,40.72321,-73.98157,United States,US,1,moderate,Private room,2010,426.0,85.0,2.0,203.0,2019-06-23
Charming UWS Treehouse Apt,37061887763,verified,Owens,Manhattan,Upper West Side,40.77956,-73.98098,United States,US,0,strict,Entire home/apt,2022,1127.0,225.0,2.0,210.0,2019-07-06
Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,11267838049,unconfirmed,Miller,Brooklyn,Bedford-Stuyvesant,40.68276,-73.95264,United States,US,1,strict,Private room,2015,368.0,74.0,5.0,64.0,2019-01-05
"Room in S3rd/Bedford, Williamsburg",82126050175,unconfirmed,Smith,Brooklyn,Williamsburg,40.71368,-73.9626,United States,US,0,flexible,Private room,2016,679.0,136.0,3.0,0.0,
CHARMING EAST VILLAGE 2 (or 1) BR,18425219763,unconfirmed,Chapman,Manhattan,East Village,40.72956,-73.98158,United States,US,0,moderate,Entire home/apt,2012,850.0,170.0,7.0,5.0,2019-01-03
Farmhouse Apartment in Williamsburg,29306345588,unconfirmed,Owens,Brooklyn,Williamsburg,40.71069,-73.95175,United States,US,1,moderate,Entire home/apt,2006,1003.0,201.0,10.0,49.0,2019-06-29
Prewar Penthouse w Private Terrace,5813584967,verified,Harris,Manhattan,Upper West Side,40.78971,-73.9729,United States,US,0,strict,Entire home/apt,2010,544.0,109.0,11.0,30.0,2019-06-13
Designer 2.5 BR Loft in Carroll Gardens by Subway,70108456652,verified,Ryan,Brooklyn,Carroll Gardens,40.67817,-73.99495,United States,US,1,flexible,Entire home/apt,2015,523.0,105.0,2.0,106.0,2019-06-27
Bright Beautiful Brooklyn,66810551515,unconfirmed,Russell,Brooklyn,Greenpoint,40.73119,-73.95578,United States,US,0,strict,Private room,2011,614.0,123.0,30.0,6.0,2016-11-13
Unique spacious loft on the Bowery,22374277894,verified,Farrell,Manhattan,Little Italy,40.71943,-73.99627,United States,US,1,moderate,Entire home/apt,2013,178.0,36.0,2.0,191.0,2019-06-20
"Nice renovated apt, prime location!",74507894043,verified,Jones,Manhattan,Upper West Side,40.78,-73.98249,United States,US,0,moderate,Entire home/apt,2008,61.0,12.0,30.0,48.0,2019-06-11
Brooklyn Writer's Nook,55936255796,unconfirmed,Morrison,Brooklyn,Bushwick,40.70514,-73.91922,United States,US,1,strict,Private room,2019,901.0,180.0,5.0,47.0,2019-06-29
Private Bedroom in Large NYC Apartment,6985874676,unconfirmed,Robinson,Manhattan,Inwood,40.86713,-73.92811,United States,US,1,moderate,Private room,2012,1189.0,238.0,2.0,120.0,2019-06-30
"Large, Sunny Room East Village NYC",56474437179,unconfirmed,Elliott,Manhattan,East Village,40.73198,-73.98881,United States,US,0,strict,Private room,2008,783.0,157.0,3.0,52.0,2019-01-10
Great Large 3 BR/2 Bath Duplex with Private Patio!,62372364631,verified,Morrison,Manhattan,East Village,40.72542,-73.97986,United States,US,1,strict,Entire home/apt,2009,69.0,14.0,2.0,48.0,2019-06-16
Gigantic Private Brooklyn Loft!,69516552829,unconfirmed,Moore,Brooklyn,Greenpoint,40.72898,-73.95552,United States,US,1,moderate,Entire home/apt,2003,784.0,157.0,1.0,50.0,2014-05-13
Condo Apartment with laundry in unit,67156618342,verified,Douglas,Bronx,Kingsbridge,40.87207,-73.90193,United States,US,0,strict,Entire home/apt,2009,55.0,11.0,30.0,4.0,2019-01-02
1BR: See Central Park from Terrace!,948625792,verified,Howard,Manhattan,Upper West Side,40.77728,-73.97818,United States,US,0,moderate,Entire home/apt,2008,989.0,198.0,13.0,38.0,2019-02-15
Private room in cozy Greenpoint,22329339249,verified,Hill,Brooklyn,Greenpoint,40.72646,-73.95341,United States,US,0,flexible,Private room,2004,1029.0,206.0,3.0,29.0,2019-06-16
Food & Music Dream Apartment in Williamsburg,46265383607,verified,Chapman,Brooklyn,Williamsburg,40.71015,-73.96101,United States,US,0,strict,Entire home/apt,2015,291.0,58.0,4.0,59.0,2019-06-23
French Garden cottage off Bedford,12636519384,verified,Reed,Brooklyn,Williamsburg,40.71903,-73.9597,United States,US,0,flexible,Entire home/apt,2005,787.0,157.0,1.0,68.0,2019-06-07
Luxury 3 bed/ 2 bath apt in Harlem w/ terrace,44227072273,unconfirmed,Henderson,Manhattan,Harlem,40.80276,-73.9567,United States,US,1,moderate,Entire home/apt,2007,725.0,145.0,14.0,31.0,2022-03-01
One Bedroom Mini studio - Free WIFI,49542841946,unconfirmed,Hawkins,Queens,Astoria,40.77635,-73.93426,United States,US,1,moderate,Entire home/apt,2022,612.0,122.0,2.0,198.0,2019-05-31
Bright Cozy Chinatown Studio Apt.,31767549581,unconfirmed,Stewart,Manhattan,Lower East Side,40.71876,-73.98394,United States,US,0,flexible,Entire home/apt,2017,824.0,165.0,3.0,286.0,2019-06-27
Eveland the Place to Stay & Enjoy a 5-⭐️ 2bdrm,12345699010,verified,Carroll,Brooklyn,South Slope,40.66552,-73.99019,United States,US,1,flexible,Entire home/apt,2011,1038.0,208.0,2.0,398.0,2019-06-28
